Mortal,Immortal
IIICF,IIICF_d2
IIICF,IIICF_402DE_D2
IIICF,IIICF_E6_A1
IIICF,IIICF_E6_A2
IIICF,IIICF_E6E7_A1
IIICF,IIICF_T_B1
IIICF,IIICF_T_B3
IIICF,IIICF_T_C3
IIICF,IIICF_T_C4
JFCF6_P12,JFCF_6_T_1_C
JFCF6_P12,JFCF_6_T_1_D
JFCF6_P12,JFCF_6_T_1_F
JFCF6_P12,JFCF_6_T_1_G
JFCF6_P12,JFCF_6_T_1_H
JFCF6_P12,JFCF_6_T_1_L
JFCF6_P12,JFCF_6_T_1_P_TEL
JFCF6_P12,JFCF_6_T_1_P_ALT
JFCF6_P12,JFCF_6_T_1_R
JFCF6_P12,JFCF_6_T_1J_11C
JFCF6_P12,JFCF_6_T_1J_11E
JFCF6_P12,JFCF_6_T_2H
JFCF6_P12,JFCF_6_T_5K
GM02063,GM847
IIICF_E6E7_C4_pre,IIICF_E6E7_C4_post
IIICF,IIICF_a2
IIICF,IIICF_c
IIICF,IIICF_T_A6
IVG_BF_LXSN_pre,IVG_BF_LXSN_post
JFCF6_P12,JFCF_6_T_1_M
JFCF6_P12,JFCF_6_P_pLKO_5
JFCF6_P12,JFCF_6_T_1_Q
JFCF6_P12,JFCF_6_T_1J_1_3C
JFCF6_P12,JFCF_6_T_1J_6B
LFS_05F_24_pre,LFS_05F_24_post
MeT_4A_pre,MeT_4A_post
WI38,VA13
