Sample	Date	Type	Instrument
GM02063_r1	10/1/18	SWATH	ProCan 5
GM02063_r2	10/1/18	SWATH	ProCan 5
GM02063_r3	11/1/18	SWATH	ProCan 5
GM847_r1	17/2/17	SWATH	ProCan 5
GM847_r2	17/2/17	SWATH	ProCan 5
GM847_r3	17/2/17	SWATH	ProCan 5
GM847_r1	13/2/17	SWATH	ProCan 5
GM847_r2	13/2/17	SWATH	ProCan 5
GM847_r3	13/2/17	SWATH	ProCan 5
GM847_r1	19/1/17	SWATH	ProCan 2
GM847_r2	19/1/17	SWATH	ProCan 2
GM847_r3	19/1/17	SWATH	ProCan 2
IIICF_E6E7_C4_pre_r1	7/1/18	SWATH	ProCan 5
IIICF_E6E7_C4_pre_r2	10/1/18	SWATH	ProCan 5
IIICF_E6E7_C4_pre_r3	11/1/18	SWATH	ProCan 5
IIICF_E6E7_A1_r1	13/2/17	SWATH	ProCan 5
IIICF_E6E7_A1_r2	13/2/17	SWATH	ProCan 5
IIICF_E6E7_A1_r3	13/2/17	SWATH	ProCan 5
IIICF_E6E7_A1_r1	17/2/17	SWATH	ProCan 5
IIICF_E6E7_A1_r2	17/2/17	SWATH	ProCan 5
IIICF_E6E7_A1_r3	17/2/17	SWATH	ProCan 5
IIICF_E6E7_A1_r1	19/1/17	SWATH	ProCan 2
IIICF_E6E7_A1_r2	19/1/17	SWATH	ProCan 2
IIICF_E6E7_A1_r3	19/1/17	SWATH	ProCan 2
IIICF_T_A6_r1	1/2/17	SWATH	ProCan 5
IIICF_T_A6_r2	1/2/17	SWATH	ProCan 5
IIICF_T_A6_r1	17/2/17	SWATH	ProCan 5
IIICF_T_A6_r2	17/2/17	SWATH	ProCan 5
IIICF_T_B1_r1	13/2/17	SWATH	ProCan 5
IIICF_T_B1_r2	13/2/17	SWATH	ProCan 5
IIICF_T_B1_r3	13/2/17	SWATH	ProCan 5
IIICF_T_B1_r1	17/2/17	SWATH	ProCan 5
IIICF_T_B1_r2	17/2/17	SWATH	ProCan 5
IIICF_T_B1_r3	17/2/17	SWATH	ProCan 5
IIICF_T_B1_r1	19/1/17	SWATH	ProCan 2
IIICF_T_B1_r2	19/1/17	SWATH	ProCan 2
IIICF_T_B1_r3	19/1/17	SWATH	ProCan 2
IIICF_T_B3_r1	14/2/17	SWATH	ProCan 5
IIICF_T_B3_r2	14/2/17	SWATH	ProCan 5
IIICF_T_B3_r3	14/2/17	SWATH	ProCan 5
IIICF_T_B3_r1	17/2/17	SWATH	ProCan 5
IIICF_T_B3_r2	17/2/17	SWATH	ProCan 5
IIICF_T_B3_r3	17/2/17	SWATH	ProCan 5
IIICF_T_B3_r1	19/1/17	SWATH	ProCan 2
IIICF_T_B3_r2	19/1/17	SWATH	ProCan 2
IIICF_T_B3_r3	19/1/17	SWATH	ProCan 2
IIICF_a2_r1	14/2/17	SWATH	ProCan 5
IIICF_a2_r2	14/2/17	SWATH	ProCan 5
IIICF_a2_r3	14/2/17	SWATH	ProCan 5
IIICF_a2_r1	17/2/17	SWATH	ProCan 5
IIICF_a2_r2	17/2/17	SWATH	ProCan 5
IIICF_a2_r3	17/2/17	SWATH	ProCan 5
IIICF_a2_r1	19/1/17	SWATH	ProCan 2
IIICF_a2_r2	19/1/17	SWATH	ProCan 2
IIICF_a2_r3	19/1/17	SWATH	ProCan 2
IIICF_a2_r4	17/12/17	SWATH	ProCan 5
IIICF_c_r1	13/2/17	SWATH	ProCan 5
IIICF_c_r2	13/2/17	SWATH	ProCan 5
IIICF_c_r3	13/2/17	SWATH	ProCan 5
IIICF_c_r1	17/2/17	SWATH	ProCan 5
IIICF_c_r2	17/2/17	SWATH	ProCan 5
IIICF_c_r3	17/2/17	SWATH	ProCan 5
IIICF_c_r1	19/1/17	SWATH	ProCan 2
IIICF_c_r2	19/1/17	SWATH	ProCan 2
IIICF_c_r3	19/1/17	SWATH	ProCan 2
IIICF_P7_r1	7/1/18	SWATH	ProCan 5
IIICF_P7_r2	10/1/18	SWATH	ProCan 5
IIICF_P7_r3	11/1/18	SWATH	ProCan 5
IIICF_P9_r1	7/1/18	SWATH	ProCan 5
IIICF_P9_r2	12/1/18	SWATH	ProCan 5
IIICF_P9_r3	11/1/18	SWATH	ProCan 5
IVG_BF_LXSN_pre_r1	7/1/18	SWATH	ProCan 5
IVG_BF_LXSN_pre_r2	10/1/18	SWATH	ProCan 5
IVG_BF_LXSN_pre_r3	11/1/18	SWATH	ProCan 5
IVG_BF_LXSN_post_r1	17/2/17	SWATH	ProCan 5
IVG_BF_LXSN_post_r2	17/2/17	SWATH	ProCan 5
IVG_BF_LXSN_post_r3	17/2/17	SWATH	ProCan 5
IVG_BF_LXSN_post_r1	13/2/17	SWATH	ProCan 5
IVG_BF_LXSN_post_r2	13/2/17	SWATH	ProCan 5
IVG_BF_LXSN_post_r3	13/2/17	SWATH	ProCan 5
IVG_BF_LXSN_post_r1	19/1/17	SWATH	ProCan 2
IVG_BF_LXSN_post_r2	19/1/17	SWATH	ProCan 2
IVG_BF_LXSN_post_r3	19/1/17	SWATH	ProCan 2
JFCF_6_r1	7/1/18	SWATH	ProCan 5
JFCF_6_r2	10/1/18	SWATH	ProCan 5
JFCF_6_r3	11/1/18	SWATH	ProCan 5
JFCF_6_T_1_C_r1	14/2/17	SWATH	ProCan 5
JFCF_6_T_1_C_r2	14/2/17	SWATH	ProCan 5
JFCF_6_T_1_C_r3	14/2/17	SWATH	ProCan 5
JFCF_6_T_1_C_r1	17/2/17	SWATH	ProCan 5
JFCF_6_T_1_C_r2	17/2/17	SWATH	ProCan 5
JFCF_6_T_1_C_r3	17/2/17	SWATH	ProCan 5
JFCF_6_T_1_C_r1	19/1/17	SWATH	ProCan 2
JFCF_6_T_1_C_r2	19/1/17	SWATH	ProCan 2
JFCF_6_T_1_C_r3	19/1/17	SWATH	ProCan 2
JFCF_6_T_1_D_r1	1/2/17	SWATH	ProCan 5
JFCF_6_T_1_D_r2	1/2/17	SWATH	ProCan 5
JFCF_6_T_1_D_r3	1/2/17	SWATH	ProCan 5
