Sample No ,Sample,SWATH Processing Date,Acq_Type,SWATH Processing Instrument,SWATH File Name,SWATH file Location,,IDA run Date,IDA_MS_Filename,Location,MS_used,Operator,MS_Method,Acq_Type,,MS_comments,BS_upload,MS_Column,MS_Col_SN,MS_Trap
1,JFCF-6/T.5K-vector,19/1/17,SWATH,ProCan 2, SWATH_Sample_01,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,8/12/16,Cell Immortalization Study_Sample_01,\\cmri-ProStor1\ProCan Storage - DAS 2\Procan\Procan2\SM\Data\20161208,ProCan 2,SM,90 Min IDA_06,IDA,,,,,,
2,JFCF-6/T.1J/1-4D,19/1/17,SWATH,ProCan 2, SWATH_Sample_02,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,8/12/16,Cell Immortalization Study_Sample_02,\\cmri-ProStor1\ProCan Storage - DAS 2\Procan\Procan2\SM\Data\20161208,ProCan 2,SM,90 Min IDA_06,IDA,,,,,,
3,JFCF-6/T.1J/1C,19/1/17,SWATH,ProCan 2, SWATH_Sample_03,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,8/12/16,Cell Immortalization Study_Sample_03,\\cmri-ProStor1\ProCan Storage - DAS 2\Procan\Procan2\SM\Data\20161208,ProCan 2,SM,90 Min IDA_06,IDA,,,,,,
4,GM847DM,19/1/17,SWATH,ProCan 2, SWATH_Sample_04,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,8/12/16,Cell Immortalization Study_Sample_04,\\cmri-ProStor1\ProCan Storage - DAS 2\Procan\Procan2\SM\Data\20161208,ProCan 2,SM,90 Min IDA_06,IDA,,,,,,
5,IVG-BF/LXSN post,19/1/17,SWATH,ProCan 2, SWATH_Sample_05,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,13/12/16,Cell Immortalization Study_Sample_05,\\cmri-ProStor1\ProCan Storage - DAS 2\Procan\Procan2\SM\Data\20161213,ProCan 2,SM,90 Min IDA_06,IDA,,,,,,
6,G292,19/1/17,SWATH,ProCan 2, SWATH_Sample_06,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,13/12/16,Cell Immortalization Study_Sample_06,\\cmri-ProStor1\ProCan Storage - DAS 2\Procan\Procan2\SM\Data\20161213,ProCan 2,SM,90 Min IDA_06,IDA,,,,,,
7,SK-LU-1,19/1/17,SWATH,ProCan 2, SWATH_Sample_07,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,13/12/16,Cell Immortalization Study_Sample_07,\\cmri-ProStor1\ProCan Storage - DAS 2\Procan\Procan2\SM\Data\20161213,ProCan 2,SM,90 Min IDA_06,IDA,,,,,,
8,IIICF E6E7/C4,19/1/17,SWATH,ProCan 2, SWATH_Sample_08,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,13/12/16,Cell Immortalization Study_Sample_08,\\cmri-ProStor1\ProCan Storage - DAS 2\Procan\Procan2\SM\Data\20161213,ProCan 2,SM,90 Min IDA_06,IDA,,,,,,
9,IIICF-T/B1,19/1/17,SWATH,ProCan 2, SWATH_Sample_09,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,14/12/16,Cell Immortalization Study_Sample_09,\\cmri-ProStor1\ProCan Storage - DAS 2\Procan\Procan2\SM\Data\20161215,ProCan 2,SM,90 Min IDA_06,IDA,,,,,,
10,JFCF-6/T.5K-sc1,19/1/17,SWATH,ProCan 2, SWATH_Sample_10,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,14/12/16,Cell Immortalization Study_Sample_10,\\cmri-ProStor1\ProCan Storage - DAS 2\Procan\Procan2\SM\Data\20161215,ProCan 2,SM,90 Min IDA_06,IDA,,,,,,
11,JFCF-6/T.1/R,19/1/17,SWATH,ProCan 2, SWATH_Sample_11,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,14/12/16,Cell Immortalization Study_Sample_11,\\cmri-ProStor1\ProCan Storage - DAS 2\Procan\Procan2\SM\Data\20161215,ProCan 2,SM,90 Min IDA_06,IDA,,,,,,
12,JFCF-6/T.1J/11C,19/1/17,SWATH,ProCan 2, SWATH_Sample_12,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,14/12/16,Cell Immortalization Study_Sample_12,\\cmri-ProStor1\ProCan Storage - DAS 2\Procan\Procan2\SM\Data\20161215,ProCan 2,SM,90 Min IDA_06,IDA,,,,,,
13,WI-38 VA13/2RA,19/1/17,,ProCan 2,,,,,,,,,,,,,,,,
14,LFS-05F-24 post,19/1/17,,ProCan 2,,,,,,,,,,,,,,,,
15,IIICF/c,19/1/17,SWATH,ProCan 2, SWATH_Sample_15,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,28/12/16,Cell Immortalization Study_Sample_15,\\cmri-ProStor1\ProCan Storage - DAS 2\Procan\Procan2\SM\Data\20161228,ProCan 2,SM,90 Min IDA_06,IDA,,,,,,
16,JFCF-6/T.5K,19/1/17,SWATH,ProCan 2, SWATH_Sample_16,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,28/12/16,Cell Immortalization Study_Sample_16,\\cmri-ProStor1\ProCan Storage - DAS 2\Procan\Procan2\SM\Data\20161228,ProCan 2,SM,90 Min IDA_06,IDA,,,,,,
17,IIICF-T/A6,19/1/17,,ProCan 2,,,,,,,,,,,,,,,,
18,JFCF-6/T.1J/12E,19/1/17,,ProCan 2,,,,,,,,,,,,,,,,
19,JFCF-6/T.1J/11E,19/1/17,SWATH,ProCan 2, SWATH_Sample_19,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,6/1/17,Cell Immortalization Study_Sample_19,\\cmri-ProStor1\ProCan Storage - DAS 2\Procan\Procan2\SM\Data\20170106,ProCan 2,SM,90 Min IDA_06,IDA,,,,,,
20,SAOS-2,19/1/17,SWATH,ProCan 2, SWATH_Sample_20,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,6/1/17,Cell Immortalization Study_Sample_20,\\cmri-ProStor1\ProCan Storage - DAS 2\Procan\Procan2\SM\Data\20170106,ProCan 2,SM,90 Min IDA_06,IDA,,,,,,
21,MeT-4A,19/1/17,SWATH,ProCan 2, SWATH_Sample_21,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,6/1/17,Cell Immortalization Study_Sample_21,\\cmri-ProStor1\ProCan Storage - DAS 2\Procan\Procan2\SM\Data\20170106,ProCan 2,SM,90 Min IDA_06,IDA,,,,,,
22,IIICF/a2,19/1/17,SWATH,ProCan 2, SWATH_Sample_22,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,6/1/17,Cell Immortalization Study_Sample_22,\\cmri-ProStor1\ProCan Storage - DAS 2\Procan\Procan2\SM\Data\20170106,ProCan 2,SM,90 Min IDA_06,IDA,,,,,,
23,IIICF-T/B3,19/1/17,SWATH,ProCan 2, SWATH_Sample_23,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,6/1/17,Cell Immortalization Study_Sample_23,\\cmri-ProStor1\ProCan Storage - DAS 2\Procan\Procan2\SM\Data\20170106,ProCan 2,SM,90 Min IDA_06,IDA,,,,,,
24,JFCF-6/T.5K-shATRX-2,19/1/17,SWATH,ProCan 2, SWATH_Sample_24,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,6/1/17,Cell Immortalization Study_Sample_24,\\cmri-ProStor1\ProCan Storage - DAS 2\Procan\Procan2\SM\Data\20170106,ProCan 2,SM,90 Min IDA_06,IDA,,,,,,
25,JFCF-6/T.1/F,19/1/17,SWATH,ProCan 2, SWATH_Sample_25,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,6/1/17,Cell Immortalization Study_Sample_25,\\cmri-ProStor1\ProCan Storage - DAS 2\Procan\Procan2\SM\Data\20170106,ProCan 2,SM,90 Min IDA_06,IDA,,,,,,
26,JFCF-6/T.1/P-shDAXX,19/1/17,SWATH,ProCan 2, SWATH_Sample_26,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,6/1/17,Cell Immortalization Study_Sample_26,\\cmri-ProStor1\ProCan Storage - DAS 2\Procan\Procan2\SM\Data\20170106,ProCan 2,SM,90 Min IDA_06,IDA,,,,,,
27,JFCF-6/T.5K-shDAXX,19/1/17,SWATH,ProCan 2, SWATH_Sample_27,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,6/1/17,Cell Immortalization Study_Sample_27,\\cmri-ProStor1\ProCan Storage - DAS 2\Procan\Procan2\SM\Data\20170106,ProCan 2,SM,90 Min IDA_06,IDA,,,,,,
