Mortal	Immortal	Protein	nPeptide	log2FC	log2FC_SE	FDR	log_oddsDE
IIICF_P7	IIICF_d2	sp|A1L0T0|ILVBL_HUMAN	2	-0.252186	0.183407	0.765606	-5.14497
IIICF_P7	IIICF_d2	sp|A5A3E0|POTEF_HUMAN	2	-0.31228	0.262019	0.739747	-4.86922
IIICF_P7	IIICF_d2	sp|A5YKK6|CNOT1_HUMAN	2	-1.22443	0.391772	0.171242	-0.298549
IIICF_P7	IIICF_d2	sp|E9PAV3|NACAM_HUMAN	2	-0.225476	0.431877	0.80547	-5.46878
IIICF_P7	IIICF_d2	sp|O00116|ADAS_HUMAN	4	-0.614007	0.294932	0.199952	-0.464395
IIICF_P7	IIICF_d2	sp|O00148|DX39A_HUMAN	4	-0.35958	0.18193	0.587914	-3.4941
IIICF_P7	IIICF_d2	sp|O00151|PDLI1_HUMAN	2	-0.0840916	0.371874	0.821452	-5.65607
IIICF_P7	IIICF_d2	sp|O00154|BACH_HUMAN	5	-1.27359	0.530181	0.00342426	4.12333
IIICF_P7	IIICF_d2	sp|O00159|MYO1C_HUMAN	17	0.164654	0.375656	0.772505	-5.19879
IIICF_P7	IIICF_d2	sp|O00193|SMAP_HUMAN	2	-0.169973	0.481188	0.81024	-5.52247
IIICF_P7	IIICF_d2	sp|O00203|AP3B1_HUMAN	2	-0.0625584	0.235483	0.817578	-5.62668
IIICF_P7	IIICF_d2	sp|O00217|NDUS8_HUMAN	1	0.858894	1.20759	0.725744	-4.72462
IIICF_P7	IIICF_d2	sp|O00231|PSD11_HUMAN	6	-0.474517	0.369743	0.451378	-2.47397
IIICF_P7	IIICF_d2	sp|O00232|PSD12_HUMAN	9	-0.500537	0.389985	0.123132	0.194326
IIICF_P7	IIICF_d2	sp|O00233|PSMD9_HUMAN	2	-0.920381	0.373047	0.350508	-1.6653
IIICF_P7	IIICF_d2	sp|O00264|PGRC1_HUMAN	2	-0.0701923	0.613765	0.819283	-5.64066
IIICF_P7	IIICF_d2	sp|O00299|CLIC1_HUMAN	7	-0.564613	0.347336	0.0239401	1.97165
IIICF_P7	IIICF_d2	sp|O00303|EIF3F_HUMAN	6	-0.390824	0.240856	0.329858	-1.47704
IIICF_P7	IIICF_d2	sp|O00410|IPO5_HUMAN	12	0.26506	0.382482	0.637328	-3.92307
IIICF_P7	IIICF_d2	sp|O00429|DNM1L_HUMAN	6	-0.112434	0.22565	0.827505	-5.76503
IIICF_P7	IIICF_d2	sp|O00469|PLOD2_HUMAN	5	0.427203	0.828368	0.794733	-5.38583
IIICF_P7	IIICF_d2	sp|O00487|PSDE_HUMAN	3	-0.607117	0.312413	0.398541	-2.02996
IIICF_P7	IIICF_d2	sp|O00505|IMA4_HUMAN	2	-0.867545	0.430802	0.386621	-1.97664
IIICF_P7	IIICF_d2	sp|O00541|PESC_HUMAN	1	-0.314085	0.137235	0.74984	-4.98068
IIICF_P7	IIICF_d2	sp|O00560|SDCB1_HUMAN	4	0.562257	0.580125	0.66296	-4.16045
IIICF_P7	IIICF_d2	sp|O00567|NOP56_HUMAN	5	-0.247217	0.28202	0.759782	-5.06241
IIICF_P7	IIICF_d2	sp|O00571|DDX3X_HUMAN	5	-0.668678	0.441754	0.324038	-1.46422
IIICF_P7	IIICF_d2	sp|O00629|IMA3_HUMAN	1	-0.0970482	0.434101	0.789823	-5.35822
IIICF_P7	IIICF_d2	sp|O00764|PDXK_HUMAN	2	-0.586206	0.281658	0.553727	-3.1775
IIICF_P7	IIICF_d2	sp|O14556|G3PT_HUMAN	1	-1.20102	0.737445	0.528632	-2.97231
IIICF_P7	IIICF_d2	sp|O14558|HSPB6_HUMAN	3	-0.53108	0.204524	0.578278	-3.41229
IIICF_P7	IIICF_d2	sp|O14561|ACPM_HUMAN	1	-0.438879	0.633707	0.750807	-4.98444
IIICF_P7	IIICF_d2	sp|O14579|COPE_HUMAN	7	-0.0817449	0.378101	0.846679	-6.16937
IIICF_P7	IIICF_d2	sp|O14617|AP3D1_HUMAN	3	0.495246	0.206204	0.567253	-3.33342
IIICF_P7	IIICF_d2	sp|O14786|NRP1_HUMAN	2	-0.238542	0.421723	0.795168	-5.38782
IIICF_P7	IIICF_d2	sp|O14818|PSA7_HUMAN	6	-0.327947	0.29401	0.574663	-3.38766
IIICF_P7	IIICF_d2	sp|O14874|BCKD_HUMAN	1	-1.11737	0.757063	0.565365	-3.3028
IIICF_P7	IIICF_d2	sp|O14908|GIPC1_HUMAN	1	-0.154533	0.351674	0.79253	-5.37671
IIICF_P7	IIICF_d2	sp|O14964|HGS_HUMAN	1	-0.986948	0.46281	0.500773	-2.80817
IIICF_P7	IIICF_d2	sp|O14974|MYPT1_HUMAN	8	0.0677157	0.435182	0.849435	-6.28639
IIICF_P7	IIICF_d2	sp|O14979|HNRDL_HUMAN	4	-0.139235	0.416611	0.833882	-5.84732
IIICF_P7	IIICF_d2	sp|O14980|XPO1_HUMAN	7	-0.629965	0.36823	0.208573	-0.503717
IIICF_P7	IIICF_d2	sp|O15013|ARHGA_HUMAN	1	-1.06815	1.05653	0.651532	-4.04133
IIICF_P7	IIICF_d2	sp|O15143|ARC1B_HUMAN	8	-0.162093	0.392423	0.826108	-5.74023
IIICF_P7	IIICF_d2	sp|O15144|ARPC2_HUMAN	4	0.0887112	0.351076	0.840599	-5.98578
IIICF_P7	IIICF_d2	sp|O15145|ARPC3_HUMAN	4	0.223286	0.384929	0.799833	-5.43461
IIICF_P7	IIICF_d2	sp|O15269|SPTC1_HUMAN	3	0.624915	0.521328	0.613755	-3.74416
IIICF_P7	IIICF_d2	sp|O15347|HMGB3_HUMAN	2	-0.689925	0.398074	0.549719	-3.16098
IIICF_P7	IIICF_d2	sp|O15355|PPM1G_HUMAN	4	-1.3331	0.681101	0.164549	-0.220562
IIICF_P7	IIICF_d2	sp|O15371|EIF3D_HUMAN	5	-0.371008	0.333067	0.626262	-3.83751
IIICF_P7	IIICF_d2	sp|O15372|EIF3H_HUMAN	2	-0.195694	0.621955	0.822109	-5.66056
IIICF_P7	IIICF_d2	sp|O15400|STX7_HUMAN	2	0.376585	0.494075	0.753976	-5.01106
IIICF_P7	IIICF_d2	sp|O15460|P4HA2_HUMAN	6	0.729476	0.804411	0.58095	-3.42996
IIICF_P7	IIICF_d2	sp|O15511|ARPC5_HUMAN	3	-0.0230695	0.422454	0.841255	-5.99908
IIICF_P7	IIICF_d2	sp|O43143|DHX15_HUMAN	11	-1.03804	0.576965	5.01883e-05	8.12121
IIICF_P7	IIICF_d2	sp|O43175|SERA_HUMAN	10	-1.15458	0.533275	4.40807e-06	9.87328
IIICF_P7	IIICF_d2	sp|O43237|DC1L2_HUMAN	4	0.12517	0.544199	0.832296	-5.82661
IIICF_P7	IIICF_d2	sp|O43242|PSMD3_HUMAN	8	-0.586235	0.323419	0.0131551	2.55574
IIICF_P7	IIICF_d2	sp|O43294|TGFI1_HUMAN	3	-0.23785	0.257599	0.760969	-5.0705
