"IntenSample" "ID" "Sample" "ProcessDate" "AcqType" "ProcessInst" "FileName" "RunDate" "MSUsed" "Operator" "MSMethod"
"1" "1" "1" "JFCF-6/T.5K-vector" "19/1/17" "SWATH" "ProCan 2" " SWATH_Sample_01" "8/12/16" "ProCan 2" "SM" "90 Min IDA_06"
"2" "10" "10" "JFCF-6/T.5K-sc1" "19/1/17" "SWATH" "ProCan 2" " SWATH_Sample_10" "14/12/16" "ProCan 2" "SM" "90 Min IDA_06"
"4" "101" "101" "IIICF E6E7/C4" "13/2/17" "SWATH" "ProCan 5" " Cell_Study_Sample_101" "" "" "" ""
"5" "102" "102" "IIICF-T/B1" "13/2/17" "SWATH" "ProCan 5" " Cell_Study_Sample_102" "" "" "" ""
"6" "103" "103" "JFCF-6/T.5K-sc1" "13/2/17" "SWATH" "ProCan 5" " Cell_Study_Sample_103" "" "" "" ""
"7" "104" "104" "JFCF-6/T.1/R" "13/2/17" "SWATH" "ProCan 5" " Cell_Study_Sample_104" "" "" "" ""
"8" "105" "105" "IIICF/c" "13/2/17" "SWATH" "ProCan 5" " Cell_Study_Sample_105" "" "" "" ""
"9" "106" "106" "JFCF-6/T.5K" "13/2/17" "SWATH" "ProCan 5" " Cell_Study_Sample_106" "" "" "" ""
"10" "107" "107" "JFCF-6/T.1J/11E" "13/2/17" "SWATH" "ProCan 5" " Cell_Study_Sample_107" "" "" "" ""
"12" "109" "109" "MeT-4A" "13/2/17" "SWATH" "ProCan 5" " Cell_Study_Sample_109" "" "" "" ""
"13" "11" "11" "JFCF-6/T.1/R" "19/1/17" "SWATH" "ProCan 2" " SWATH_Sample_11" "14/12/16" "ProCan 2" "SM" "90 Min IDA_06"
"14" "110" "110" "IIICF/a2" "14/2/17" "SWATH" "ProCan 5" " Cell_Study_Sample_110" "" "" "" ""
"15" "111" "111" "IIICF-T/B3" "14/2/17" "SWATH" "ProCan 5" " Cell_Study_Sample_111" "" "" "" ""
"16" "112" "112" "JFCF-6/T.1/C" "14/2/17" "SWATH" "ProCan 5" " Cell_Study_Sample_112" "" "" "" ""
"17" "113" "113" "JFCF-6/T.1/D" "14/2/17" "SWATH" "ProCan 5" " Cell_Study_Sample_113" "" "" "" ""
"18" "114" "114" "JFCF-6/T.1/G" "14/2/17" "SWATH" "ProCan 5" " Cell_Study_Sample_114" "" "" "" ""
"19" "115" "115" "JFCF-6/T.1/H" "14/2/17" "SWATH" "ProCan 5" " Cell_Study_Sample_115" "" "" "" ""
"20" "116" "116" "JFCF-6/T.1/L" "14/2/17" "SWATH" "ProCan 5" " Cell_Study_Sample_116" "" "" "" ""
"21" "117" "117" "JFCF-6/T.1/M" "14/2/17" "SWATH" "ProCan 5" " Cell_Study_Sample_117" "" "" "" ""
"22" "118" "118" "JFCF-6/T.1/P" "14/2/17" "SWATH" "ProCan 5" " Cell_Study_Sample_118" "" "" "" ""
"23" "119" "119" "JFCF-6/T.1/P-EV" "14/2/17" "SWATH" "ProCan 5" " Cell_Study_Sample_119" "" "" "" ""
"24" "12" "12" "JFCF-6/T.1J/11C" "19/1/17" "SWATH" "ProCan 2" " SWATH_Sample_12" "14/12/16" "ProCan 2" "SM" "90 Min IDA_06"
"25" "120" "120" "JFCF-6/T.1/Q" "14/2/17" "SWATH" "ProCan 5" " Cell_Study_Sample_120" "" "" "" ""
"26" "121" "121" "JFCF-6/T.1J/11C" "14/2/17" "SWATH" "ProCan 5" " Cell_Study_Sample_121" "" "" "" ""
"27" "122" "122" "JFCF-6/T.5K-shATRX-2" "14/2/17" "SWATH" "ProCan 5" " Cell_Study_Sample_122" "" "" "" ""
